year,month,woType,costType,cost
2025,1,breakdown,manhrs,1500
2025,1,breakdown,sparepart,3200
2025,1,breakdown,outsource,2000
2025,1,corrective,manhrs,800
2025,1,corrective,sparepart,1500
2025,1,corrective,outsource,0
2025,1,preventive,manhrs,1000
2025,1,preventive,sparepart,2500
2025,1,preventive,outsource,500
2025,2,breakdown,manhrs,1200
2025,2,breakdown,sparepart,2800
2025,2,breakdown,outsource,1500
2025,2,corrective,manhrs,900
2025,2,corrective,sparepart,1200
2025,2,corrective,outsource,300
2025,2,preventive,manhrs,1100
2025,2,preventive,sparepart,2200
2025,2,preventive,outsource,400
2025,3,breakdown,manhrs,1800
2025,3,breakdown,sparepart,4500
2025,3,breakdown,outsource,3000
2025,3,corrective,manhrs,750
2025,3,corrective,sparepart,1800
2025,3,corrective,outsource,200
2025,3,preventive,manhrs,950
2025,3,preventive,sparepart,2800
2025,3,preventive,outsource,600
2025,4,breakdown,manhrs,900
2025,4,breakdown,sparepart,2100
2025,4,breakdown,outsource,1200
2025,4,corrective,manhrs,850
2025,4,corrective,sparepart,1400
2025,4,corrective,outsource,150
2025,4,preventive,manhrs,1050
2025,4,preventive,sparepart,2600
2025,4,preventive,outsource,550
2025,5,breakdown,manhrs,1100
2025,5,breakdown,sparepart,2600
2025,5,breakdown,outsource,1800
2025,5,corrective,manhrs,700
2025,5,corrective,sparepart,1100
2025,5,corrective,outsource,100
2025,5,preventive,manhrs,1200
2025,5,preventive,sparepart,3000
2025,5,preventive,outsource,700
2025,6,breakdown,manhrs,1400
2025,6,breakdown,sparepart,3300
2025,6,breakdown,outsource,2200
2025,6,corrective,manhrs,820
2025,6,corrective,sparepart,1350
2025,6,corrective,outsource,250
2025,6,preventive,manhrs,1150
2025,6,preventive,sparepart,2900
2025,6,preventive,outsource,650
2025,7,breakdown,manhrs,1600
2025,7,breakdown,sparepart,3800
2025,7,breakdown,outsource,2500
2025,7,corrective,manhrs,780
2025,7,corrective,sparepart,1600
2025,7,corrective,outsource,350
2025,7,preventive,manhrs,1000
2025,7,preventive,sparepart,2400
2025,7,preventive,outsource,500
2025,8,breakdown,manhrs,1350
2025,8,breakdown,sparepart,3100
2025,8,breakdown,outsource,1900
2025,8,corrective,manhrs,880
2025,8,corrective,sparepart,1450
2025,8,corrective,outsource,280
2025,8,preventive,manhrs,1080
2025,8,preventive,sparepart,2700
2025,8,preventive,outsource,580
2025,9,breakdown,manhrs,1250
2025,9,breakdown,sparepart,2900
2025,9,breakdown,outsource,1700
2025,9,corrective,manhrs,830
2025,9,corrective,sparepart,1300
2025,9,corrective,outsource,220
2025,9,preventive,manhrs,1120
2025,9,preventive,sparepart,2850
2025,9,preventive,outsource,620
2025,10,breakdown,manhrs,1450
2025,10,breakdown,sparepart,3400
2025,10,breakdown,outsource,2100
2025,10,corrective,manhrs,760
2025,10,corrective,sparepart,1550
2025,10,corrective,outsource,320
2025,10,preventive,manhrs,1030
2025,10,preventive,sparepart,2550
2025,10,preventive,outsource,530
2025,11,breakdown,manhrs,1550
2025,11,breakdown,sparepart,3600
2025,11,breakdown,outsource,2300
2025,11,corrective,manhrs,810
2025,11,corrective,sparepart,1420
2025,11,corrective,outsource,290
2025,11,preventive,manhrs,1070
2025,11,preventive,sparepart,2650
2025,11,preventive,outsource,570
2025,12,breakdown,manhrs,1700
2025,12,breakdown,sparepart,4000
2025,12,breakdown,outsource,2600
2025,12,corrective,manhrs,900
2025,12,corrective,sparepart,1700
2025,12,corrective,outsource,400
2025,12,preventive,manhrs,1180
2025,12,preventive,sparepart,3100
2025,12,preventive,outsource,720
2024,1,breakdown,manhrs,1400
2024,1,breakdown,sparepart,3000
2024,1,breakdown,outsource,1800
2024,1,corrective,manhrs,750
2024,1,corrective,sparepart,1400
2024,1,corrective,outsource,100
2024,1,preventive,manhrs,900
2024,1,preventive,sparepart,2200
2024,1,preventive,outsource,400
2024,6,breakdown,manhrs,1300
2024,6,breakdown,sparepart,3100
2024,6,breakdown,outsource,2000
2024,6,corrective,manhrs,800
2024,6,corrective,sparepart,1300
2024,6,corrective,outsource,200
2024,6,preventive,manhrs,1050
2024,6,preventive,sparepart,2700
2024,6,preventive,outsource,600
2024,12,breakdown,manhrs,1600
2024,12,breakdown,sparepart,3700
2024,12,breakdown,outsource,2400
2024,12,corrective,manhrs,850
2024,12,corrective,sparepart,1600
2024,12,corrective,outsource,350
2024,12,preventive,manhrs,1100
2024,12,preventive,sparepart,2900
2024,12,preventive,outsource,680
