year,month,woType,count
2025,1,breakdown,3
2025,1,corrective,3
2025,1,preventive,4
2025,2,breakdown,3
2025,2,corrective,3
2025,2,preventive,4
2025,3,breakdown,4
2025,3,corrective,3
2025,3,preventive,5
2025,4,breakdown,2
2025,4,corrective,3
2025,4,preventive,4
2025,5,breakdown,3
2025,5,corrective,2
2025,5,preventive,5
2025,6,breakdown,3
2025,6,corrective,3
2025,6,preventive,5
2025,7,breakdown,4
2025,7,corrective,3
2025,7,preventive,4
2025,8,breakdown,3
2025,8,corrective,3
2025,8,preventive,5
2025,9,breakdown,3
2025,9,corrective,3
2025,9,preventive,5
2025,10,breakdown,3
2025,10,corrective,3
2025,10,preventive,4
2025,11,breakdown,4
2025,11,corrective,3
2025,11,preventive,5
2025,12,breakdown,4
2025,12,corrective,4
2025,12,preventive,5
2024,1,breakdown,3
2024,1,corrective,3
2024,1,preventive,4
2024,6,breakdown,3
2024,6,corrective,3
2024,6,preventive,5
2024,12,breakdown,4
2024,12,corrective,4
2024,12,preventive,5
